temps(ms),simulations,position,recompenses,
500.0,5006.0,81.42481274448842,70.0,
500.0,5139.0,179.1843579809751,170.0,
500.0,4932.0,45.0755429203493,70.0,
500.0,5164.0,85.73156006622744,140.0,
